title,b_title,desc,has multi,#epis,img_url,epi_urls
"宇宙奇观,Wonders of the Universe",宇宙奇观：第1集_纪录片_bilibili_哔哩哔哩,Brian Cox教授带我们用物理学揭开种种宇宙奇迹的奥秘，阐释人类和宇宙的深邃联系。茫茫宇宙，人类从何而来？宇宙又将走向何处？带着万千的疑问，我们跟随Brian Cox教授一起感受地球上罕见的景观，,True,4,http://i0.hdslb.com/bfs/archive/147ac5f05dab5e02df6eaccb05e0e59461b6dfa7.png,"['https://www.bilibili.com/bangumi/play/ep119047/', 'https://www.bilibili.com/bangumi/play/ep119048', 'https://www.bilibili.com/bangumi/play/ep119049', 'https://www.bilibili.com/bangumi/play/ep119050']"
"神奇的月球,Wonders of the Moon",神奇的月球_纪录片_bilibili_哔哩哔哩,"血月、超级月亮和月全食。bilibili & BBC联合出品的《神奇的月球》带你探索月球之美，了解它对我们自然世界的影响。
夜间拍摄月亮很难，但是，新式的低照度摄影机和数码望远镜终于能捕捉到在自然光下",False,1,http://i0.hdslb.com/bfs/bangumi/557ef348131a9a5f1313f14674391b5d750e3bb0.png,['https://www.bilibili.com/bangumi/play/ep193265/']
"零度以下的生活:消融 第一季,LIFE BELOW ZERO - THE THAW: SERIES",零度以下的生活:消融 第一季：第1集_纪录片_bilibili_哔哩哔哩,对四个生活在这片远离人烟的无情领土的不同角落的家庭来说，春天已经回来。严冬过后，在遥远的阿拉斯加，破冰正在进行。《零度以下的生活》的几个坚强的角色面临着全新的挑战。从许多方面来说，春季比冬天难捱多了，,True,6,http://i0.hdslb.com/bfs/archive/7d6e289149d3b27bb862cf6ab1198c65c3c48091.png,"['https://www.bilibili.com/bangumi/play/ep118878/', 'https://www.bilibili.com/bangumi/play/ep118879', 'https://www.bilibili.com/bangumi/play/ep118880', 'https://www.bilibili.com/bangumi/play/ep118881', 'https://www.bilibili.com/bangumi/play/ep118882', 'https://www.bilibili.com/bangumi/play/ep118883']"
"黑洞吞噬,Horizon: Swallowed by a Black Hole,黑洞吞噬",黑洞吞噬_纪录片_bilibili_哔哩哔哩,"在银河系黑暗中心的深处，距地球月26,000光年的地方，一场罕见巨变即将展开。一团地球三倍大小的气云——可能是某个衰亡的恒星，即将经历不可避免的壮观毁灭。科学家预测，截止到2013年4月，这团名为G2",False,1,http://i0.hdslb.com/bfs/archive/288450d102b88786c1352f020697437f97394143.png,['https://www.bilibili.com/bangumi/play/ep120940/']
"地平线系列：小猫日记,Horizon: Little Cat Diaries",地平线系列：小猫日记_纪录片_bilibili_哔哩哔哩,在《BBC地平线：猫的秘密生活》的基础上，更细致地讲述了四只特定的猫的独特习性。,False,1,http://i2.hdslb.com/bfs/archive/dd9ce8a8b0c67ba026e0653eaae81808bfd6c441.png,['https://www.bilibili.com/bangumi/play/ep120835/']
"幻影与银影 劳斯莱斯的百年企业史,Phantoms&Shadows 100 years of Rolls-Royce",幻影与银影 劳斯莱斯的百年企业史：第1集_纪录片_bilibili_哔哩哔哩,劳斯莱斯豪车 曾是那么的光彩夺目。美得无比自然 仿佛与工程毫无关系。专属国王与贵族们的座驾。可现在呢 它代表的难道仅是明星 银行家 又或是花花公子们炫耀身份的象征吗？这是一个关于劳斯莱斯幻影、银影以及,True,2,http://i0.hdslb.com/bfs/archive/7df1fe4b97ab9a2a77c5ffb299a5a1c9946ce16b.png,"['https://www.bilibili.com/bangumi/play/ep203926/', 'https://www.bilibili.com/bangumi/play/ep203927']"
"【纪录片】于贝尔·德·纪梵希：高级定制的生活-Hubert de Givenchy : a Life,服饰,秀场,奥黛丽·赫本,赫本,高级定制,时尚,奢侈,纪梵希,大秀,买买买,纪录片,人文·历史,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】于贝尔·德·纪梵希：高级定制的生活-Hubert de Givenchy : a Life_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,摄影师Eric Pellerin 独家对话老年纪梵希，共同回忆法国高级时装缔造者的青年时代，以及品牌发展历史，有各路明星的影像为证，包括奥黛丽赫本，肯尼迪夫人。,False,1,http://i2.hdslb.com/bfs/archive/6e1452fe6112dda5662956067926d928791af86f.png,['https://www.bilibili.com/video/av16623044']
"我该吃肉吗,Horizon: Should I Eat Meat?,無肉不歡？,该不该吃肉.健康大问题",我该吃肉吗_纪录片_bilibili_哔哩哔哩,Dr Michael Mosley seeks to establish the truth about meat. Are those barbecue favourites like burger,False,1,http://i1.hdslb.com/bfs/archive/4d39a8dfdf54f2b4423970faeb3991450dabc1b6.png,['https://www.bilibili.com/bangumi/play/ep120927/']
"威廉，凯特与乔治:新王室家庭,William, Kate & George: A New Royal Family,威廉凯特与乔治·新王室家庭",威廉，凯特与乔治:新王室家庭_纪录片_bilibili_哔哩哔哩,本片讲述了一个令全世界期待的故事，关于英国王位继承人威廉王子迎娶典型的邻家女孩——凯特·米德尔顿的故事。然而这对俊男靓女究竟是如何联姻，凯特来自哪里，这桩婚姻对于英国君主制的未来又有怎样的意义呢？在密,False,1,http://i2.hdslb.com/bfs/archive/c9862958ebfa8a85ad4c4c84f7ae68e04c82cb16.png,['https://www.bilibili.com/bangumi/play/ep119101/']
"如何建造星球,How to Build a Planet,BBC 怎样建造一个星球",如何建造星球：第一集_纪录片_bilibili_哔哩哔哩,这是终极的工程项目：怎样建造一个星球、太阳系和银河系？要从头开始建设宇宙需要什么？如果你出了错会出现什么情况？和其他任何建设工程一样，这也会出错。把月亮放到错误的位置，或者混合物里的铁有点多……。,True,2,http://i2.hdslb.com/bfs/archive/5fae26572518e32d247a7beccc32660d163ba6fa.png,"['https://www.bilibili.com/bangumi/play/ep118924/', 'https://www.bilibili.com/bangumi/play/ep118925']"
"明星猫咪,STAR PAWS - THE RISE OF THE SUPERSTAR PETS,猫",明星猫咪_纪录片_bilibili_哔哩哔哩,这部纪录片主要介绍了猫咪、广告和品牌这三者之间的关系。先由暴躁猫开始，给了我们一个明星猫咪的现状介绍，以及背后所能带来的广告效应和巨大收益。然后通过布朗蒂，一位即将崛起的明日之星，讲述了猫的成名之路和,False,1,http://i0.hdslb.com/bfs/archive/bfde266a623b6e0535bcb564ad81cb5f6480290d.png,['https://www.bilibili.com/bangumi/play/ep205860/']
"骄奢父母,Too Posh to Parent",骄奢父母_纪录片_bilibili_哔哩哔哩,可怜天下父母心，父母为了孩子们的健康成长以及打理好家务事，一般一个家庭会雇佣一位保姆或保镖。但这集非比寻常，主要通过四个不同的家庭状况，讲述了父母对保姆和保镖提出的各种既奇葩又苛刻的要求。请大家做好吐,False,1,http://i0.hdslb.com/bfs/archive/27a2c8c40c66841e410eeb93410714db7118e3c7.png,['https://www.bilibili.com/bangumi/play/ep206078/']
"【纪录片】天空之城 第一集 出发【双语特效字幕】【纪录片之家字幕组】,科普,迪拜,A380,BBC,航空,天空之城,民航,纪录片之家字幕组,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】天空之城 第一集 出发【双语特效字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,"@纪录片之家字幕组 如今任一时刻都约有上百人在空中坐着飞机，这座天空之城跨越全球，这一集讲述出发前的准备，既有大家关心的大飞机制造和起飞，也有不为人注意的燃油、保障、食品和机场设计，工程片精品，不容错过。纪录片之家字幕组译制。2016/6/14更新视频源。",False,1,http://i2.hdslb.com/bfs/archive/e46db042a07ba243f60ad21b2273ae3e05e43a93.jpg,['https://www.bilibili.com/video/av4940436']
"【历史频道】爱因斯坦【双语字幕】【纪录片之家字幕组】,爱因斯坦,科学巨人,相对论,纪录片,人文·历史,哔哩哔哩,Bilibili,B站,弹幕",【历史频道】爱因斯坦【双语字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家字幕组 本片是在爱因斯坦相对论诞生100周年时的纪念作品，主要讲述爱因斯坦的相对论诞生的整个过程，这期间同样反应了他从小职员到知识巨星的历程，真实的历史事件曲折细腻，完全不逊于任何好莱坞的任何人工雕琢的大片。波澜壮阔的历史造就了无数英雄，这里也同样能够看到爱因斯坦身边的各位同样了不起的人物。本片采访了来自欧美的多位各界精英，特别是包括乔布斯传的作者，其实他之前就为爱因斯坦写过传记，在欧,False,1,http://i2.hdslb.com/bfs/archive/7bc15637f511b2536afe4517cbc0c880eacecac8.jpg,['https://www.bilibili.com/video/av4903011']
"【纪录片】数据的乐趣【1080p】【双语特效字幕】【纪录片之家科技控】,数学,计算机,特效字幕,数据,纪录片之家科技控,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】数据的乐趣【1080p】【双语特效字幕】【纪录片之家科技控】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家科技控 本片非常深入浅出介绍数据收集的起源、进化、机器学习云等概念，对于香农熵和互联网数据传输等进行了精彩的可视化诠释，原来这些貌似难以理解而且枯燥无味的高深概念，都在我们生活中活泼地存在着。纪录片之家科技控译制,False,1,http://i0.hdslb.com/bfs/archive/ca57166ff515d5482fe83f4fd0f677ec0c1ce191.jpg,['https://www.bilibili.com/video/av8225730']
"【国家地理】超级工厂 之 可口可乐【双语字幕】【纪录片之家字幕组】,肥仔快乐水,超级工厂,可乐,可口可乐,强迫症福利,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【国家地理】超级工厂 之 可口可乐【双语字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家字幕组 可口可乐除了名满天下的秘密配方之外，貌似平凡的三种常规瓶装工艺也充分反映了现代工程学的繁复和精妙，跟随镜头来看看这种日常饮料不平常的制造工艺，体验机械和工程带来别样刺激。纪录片之家字幕组 摘定修正国际版中文字幕 听录补充英文字幕。2016/7/7更新片源。,False,1,http://i2.hdslb.com/bfs/archive/bcd23c71071f0a54ff6848ca8a110959e0071537.jpg,['https://www.bilibili.com/video/av5223678']
"【探索频道】惊天工程之最快火车 上海磁悬浮【双语字幕】【纪录片之家字幕组】,磁悬浮,惊天工程,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【探索频道】惊天工程之最快火车 上海磁悬浮【双语字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,"纪录片之家字幕组压制 上海磁悬浮列车是世界上第一段投入商业运行的高速磁悬浮列车，设计最高运行速度为每小时431公里，仅次于飞机的飞行时速。本片带你了解如此神科技的历史足迹和工程原理。纪录片之家字幕组译制",False,1,http://i2.hdslb.com/bfs/archive/cc93a84504f5f5168e5d4f35d52ca8d9f6723a01.jpg,['https://www.bilibili.com/video/av4561610']
"【纪录片】霍金与黑洞【双语特效字幕】【纪录片之家字幕组】,科学,量子力学,霍金,引力波,黑洞,宇宙,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】霍金与黑洞【双语特效字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,"纪录片之家字幕组压制 纪录片之家字幕组译制黑洞是宇宙中的最大谜团，最近发现的引力波证明了黑洞的存在，并提供了研究黑洞物理规律的新途径。本片采访霍金，讲述黑洞研究的最近进展。",False,1,http://i0.hdslb.com/bfs/archive/3b829eecce672293f9b6eb3bddeaa7fc265ec12c.jpg,['https://www.bilibili.com/video/av4389697']
"【纪录片】你知道吗 第三集 碳酸饮料和酸奶【720p】【双语特效字幕】【纪录片之家字幕组】,特效字幕,碳酸饮料,酸奶,二氧化碳,死了都要爱,纪录片之家字幕组,发酵,纪录片,社会·美食·旅行,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】你知道吗 第三集 碳酸饮料和酸奶【720p】【双语特效字幕】【纪录片之家字幕组】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家字幕组 生活中那些习以为常的小玩意儿究竟是如何运作的呢？它们有什么令人称奇的科学原理吗？本集将带您探访碳酸饮料和酸奶的制作原理。纪录片之家字幕组译制。2016/10/25更新片源。,False,1,http://i0.hdslb.com/bfs/archive/2df24e1548a8559a179784b05434ad76219b98aa.jpg,['https://www.bilibili.com/video/av6716261']
",番剧,新番时间表,哔哩哔哩,Bilibili,B站,弹幕",视频去哪了呢？_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,,False,1,,['https://www.bilibili.com/video/av11585618']
",番剧,新番时间表,哔哩哔哩,Bilibili,B站,弹幕",视频去哪了呢？_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,,False,1,,['https://www.bilibili.com/video/av9856225']
"【纪录片】隐秘王国 第二集 【1080p】【双语特效字幕】【纪录片之家爱自然】,花栗鼠,生物生态,自然,特效字幕,纪录片之家爱自然,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【纪录片】隐秘王国 第二集 【1080p】【双语特效字幕】【纪录片之家爱自然】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家爱自然在本集中，两位主角，一位是第一次面对严冬的花栗鼠、另一位是面对重重危机的小树鼩，它们的故事配合着精彩绝伦的摄影，吃货本色加上勇敢的心扣人心弦。纪录片之家爱自然译制,False,1,http://i0.hdslb.com/bfs/archive/84067cd56dcabd692d66ffac29d0c274847910ab.jpg,['https://www.bilibili.com/video/av10684528']
",番剧,新番时间表,哔哩哔哩,Bilibili,B站,弹幕",视频去哪了呢？_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,,False,1,,['https://www.bilibili.com/video/av8497301']
",番剧,新番时间表,哔哩哔哩,Bilibili,B站,弹幕",视频去哪了呢？_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,,False,1,,['https://www.bilibili.com/video/av10658316']
"【探索频道】 揭秘金字塔黑暗之谜【双语特效字幕】【纪录片之家科技控】,埃及,金字塔,特效字幕,胡夫,纪录片之家科技控,纪录片,科学·探索·自然,哔哩哔哩,Bilibili,B站,弹幕",【探索频道】 揭秘金字塔黑暗之谜【双语特效字幕】【纪录片之家科技控】_哔哩哔哩 (゜-゜)つロ 干杯~-bilibili,@纪录片之家科技控探索频道出品，埃及吉萨大金字塔曾在几千年间都是世界最高的建筑，无论是在结构和工程上都无可匹敌，虽然其宝藏早已被盗，但它本身就是古埃及最辉煌的遗产。纪录片之家科技控译制,False,1,http://i1.hdslb.com/bfs/archive/026b8ef1cdde1fe36af2a33113723b9f57385387.jpg,['https://www.bilibili.com/video/av13833730']
